trading_day,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
20240429,3600.2,3630.01233535,17.6736734726,4.94906900146,12.7246044711,79.71233386,77.6909089737,83.7551836328,58.643269067,82.2869101979,3600.2,3747.02588328,3453.37411672,3600.2,3629.84935897,18.5492923534,6.23649379436,24.625597118,78.8690201771,76.2759320071,84.0551965169,58.3226511171,82.2869101979,3600.2,3747.02588328,3453.37411672
20240430,3610.95,3633.82068436,18.3069400763,7.62064321642,10.6862968598,71.9046523349,77.4044076086,60.9051417877,57.6091603776,81.319976429,3610.95,3744.56657831,3477.33342169,3610.95,3633.67322954,19.1176843275,8.81273190098,20.6099048529,70.0590215815,74.2036285319,61.7698076805,57.2917855793,81.319976429,3610.95,3744.56657831,3477.33342169
20240506,3623.35,3643.26633347,23.6201040526,10.8205353837,12.799568669,75.7921365322,75.803040909,75.7703277784,65.7939294566,112.395697195,3623.35,3753.9061565,3492.7938435,3623.35,3643.13292197,24.3707813519,11.9243417912,24.8928791214,77.9744509658,75.4605693432,83.002214211,65.5534219802,112.395697195,3623.35,3753.9061565,3492.7938435
20240507,3635.05,3652.00287314,27.6732085463,14.1910700162,13.4821385301,79.2565859512,75.6511249394,86.4675079747,66.0182424233,142.719223886,3635.05,3761.52762648,3508.57237352,3635.05,3651.88216749,28.3682701163,15.2131274562,26.3102853202,82.4914418868,77.8041935244,91.8659386116,65.779736357,142.719223886,3635.05,3761.52762648,3508.57237352
20240508,3646.95,3656.1930757,27.4222424539,16.8373045037,10.5849379502,80.7851756173,78.6112993669,85.132928118,58.0272215801,110.187623436,3646.95,3746.46778735,3547.43221265,3646.95,3656.08386583,28.0658095173,17.7836638684,20.5642912977,74.002559054,76.5369820343,68.9337130935,57.8044444912,110.187623436,3646.95,3746.46778735,3547.43221265
20240509,3654.2,3659.60325897,26.5940240915,18.7886484213,7.80537567022,67.4230751272,75.8216122319,50.6260009179,57.2616562134,79.9090801748,3654.2,3744.20799964,3564.19200036,3654.2,3659.50445004,27.1899123583,19.6649135664,15.0499975838,67.2413754575,73.4384465087,54.8472333551,57.0405762934,79.9090801748,3654.2,3744.20799964,3564.19200036
20240510,3659.35,3661.73628192,24.8443484618,19.9997884294,4.84456003239,50.0644476458,66.0908994634,18.0115440105,55.2974796213,45.8730955969,3659.35,3743.1289353,3575.5710647,3659.35,3661.64688337,25.3960907966,20.8111490124,9.16988356838,57.9774307331,68.2847745835,37.3627430324,55.0809061941,45.8730955969,3659.35,3743.1289353,3575.5710647
20240513,3666.1,3666.14235031,25.2644675728,21.0527242581,4.21174331475,52.1571006141,56.5482077957,43.374886251,59.214702577,74.3994297713,3666.1,3742.38079706,3589.81920294,3666.1,3666.0614659,25.7753349771,21.8039862054,7.94269754349,59.7525379199,65.4406956956,48.3762223685,59.0227540632,74.3994297713,3666.1,3742.38079706,3589.81920294
20240514,3669.4,3666.12879314,21.9552792117,21.2332352488,0.722043962898,41.3020465773,47.8411982791,28.2237431737,51.3819017845,35.1250665247,3669.4,3739.40971361,3599.39028639,3669.4,3666.05561201,22.428300247,21.9288490137,0.998902466592,46.8863073312,59.2558995742,22.1471228454,51.2056267529,35.1250665247,3669.4,3739.40971361,3599.39028639
20240515,3670.9,3664.30700331,17.59673814,20.505935827,-2.90919768702,31.6920224913,41.7170565609,11.6419543521,48.2711580096,-60.3855947617,3670.9,3737.560033,3604.239967,3670.9,3664.24079182,18.0347169086,21.1500225927,-6.23061136814,34.7973612297,51.1030534593,2.18597677035,48.1019304783,-60.3855947617,3670.9,3737.560033,3604.239967
